	Word	PoS	FrCo		LogLike	FrTO
	costs	NoC	7	-	471.8	104
	conference	NoC	9	-	469.5	109
	wait	Verb	272	+	468.2	94
	amendment	NoC	2	-	468.1	85
	resources	NoC	5	-	468.1	96
	told	Verb	518	+	467.7	255
	produce	Verb	6	-	467.2	98
	appropriate	Adj	7	-	467.1	103
	morning	NoC	634	+	465.9	339
	economic	Adj	3	-	465.9	87
	hate	Verb	130	+	463.3	21
	points	NoC	32	-	462.2	164
	existing	Adj	2	-	460.9	84
	drink	NoC	137	+	460.6	24
	continue	Verb	9	-	458.0	106
	most	Adv	92	-	456.8	273
	and so on	Adv	18	-	455.5	130
	application	NoC	6	-	454.7	96
	opportunity	NoC	13	-	454.5	118
	eighty	Num	164	-	452.9	387
	first	Ord	715	-	452.5	1123
	yours	Pron	176	+	449.6	43
	sector	NoC	7	-	448.0	98
	companies	NoC	13	-	447.2	115
	good	Adj	1883	+	447.0	1349
	specific	Adj	5	-	445.9	93
	round	Adv	578	+	445.1	304
	quality	NoC	27	-	444.7	148
	questions	NoC	61	-	443.2	216
	workers	NoC	8	-	443.1	101
	difficult	Adj	95	-	443.0	275
	although	Conj	66	-	442.1	224
	w	Uncl	47	-	440.3	190
	positive	Adj	8	-	439.8	100
	many	DetP	457	-	438.7	788
	upon	Prep	17	-	438.6	124
	telly	NoC	92	+	438.6	8
	need	NoC	28	-	436.2	150
	in order	ClO	5	-	435.2	88
	officer	NoC	16	-	433.3	121
	involved	Adj	17	-	432.9	124
	conditions	NoC	5	-	432.3	90
	sites	NoC	6	-	431.6	92
	oi	Int	67	+	431.4	2
	with	Prep	3932	-	428.8	4798
	past	Prep	270	+	428.5	98
	Britain	NoP	16	-	428.4	119
	most	DetP	140	-	427.8	343
	themselves	Pron	44	-	424.6	179
	project	NoC	19	-	424.2	128
	current	Adj	6	-	423.9	93
	fairly	Adv	37	-	423.1	166
	Charlotte	NoP	82	+	422.4	6
	as to	Prep	9	-	422.3	101
	increase	NoC	6	-	421.6	92
	horrible	Adj	113	+	420.9	17
	bad	Adj	431	+	420.8	205
	changes	NoC	12	-	420.0	108
	cheese	NoC	88	+	418.5	8
	additional	Adj	0	-	416.0	68
	course	NoC	57	-	415.8	202
